"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"liquidType","liquidType","m","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"calmTileId","calmTileId","n","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"tileId","tileId","o","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"spreadSpeed","spreadSpeed","p","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"tiles","tiles","a","[Lcom/mojang/minecraft/level/tile/Tile;","[Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"water","water","g","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"lava","lava","i","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"rock","rock","c","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"tex","tex","k","I","I","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"dirt","dirt","e","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"shouldTick","shouldTick","b","[Z","[Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"zz0","zz0","o","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"yy1","yy1","q","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"xx0","xx0","m","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"calmWater","calmWater","h","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"calmLava","calmLava","j","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"grass","grass","d","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"id","id","l","I","I","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"unbreakable","unbreakable","f","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"yy0","yy0","n","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"xx1","xx1","p","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"zz1","zz1","r","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"depth","depth","d","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"coords","coords","g","[I","[I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"width","width","b","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"height","height","c","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"blocks","blocks","f","[B","[B","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
